subject,condition,encode_phase,response_phase,prop,mem_prop,_count,mem_count,group
106,1,3,2,0.4583333333333333,0.6666666666666666,11,6,ptsd
106,1,3,3,0.125,0.0,3,0,ptsd
106,2,1,1,0.2916666666666667,0.3,7,3,ptsd
106,2,1,2,0.5,0.6,12,6,ptsd
106,2,1,3,0.20833333333333331,0.1,5,1,ptsd
106,2,2,1,0.4166666666666667,0.6666666666666666,10,2,ptsd
106,2,2,2,0.25,0.0,6,0,ptsd
106,2,2,3,0.3333333333333333,0.3333333333333333,8,1,ptsd
106,2,3,1,0.20833333333333331,0.2,5,1,ptsd
106,2,3,2,0.20833333333333331,0.2,5,1,ptsd
106,2,3,3,0.5833333333333334,0.6,14,3,ptsd
107,1,1,1,0.3333333333333333,0.3333333333333333,8,4,ptsd
107,1,1,2,0.4166666666666667,0.5833333333333334,10,7,ptsd
107,1,1,3,0.25,0.08333333333333333,6,1,ptsd
107,1,2,1,0.3333333333333333,0.26666666666666666,8,4,ptsd
107,1,2,2,0.3333333333333333,0.5333333333333333,8,8,ptsd
107,1,2,3,0.3333333333333333,0.2,8,3,ptsd
107,1,3,1,0.3333333333333333,0.2857142857142857,8,4,ptsd
107,1,3,2,0.5,0.6428571428571429,12,9,ptsd
107,1,3,3,0.16666666666666666,0.07142857142857142,4,1,ptsd
107,2,1,1,0.2916666666666667,0.2307692307692308,7,3,ptsd
107,2,1,2,0.25,0.4615384615384616,6,6,ptsd
107,2,1,3,0.4583333333333333,0.3076923076923077,11,4,ptsd
107,2,2,1,0.4583333333333333,0.2857142857142857,11,4,ptsd
107,2,2,2,0.4166666666666667,0.7142857142857143,10,10,ptsd
107,2,2,3,0.125,0.0,3,0,ptsd
107,2,3,1,0.4583333333333333,0.5,11,8,ptsd
107,2,3,2,0.2916666666666667,0.375,7,6,ptsd
107,2,3,3,0.25,0.125,6,2,ptsd
108,1,1,1,0.25,0.16666666666666666,6,3,ptsd
108,1,1,2,0.2916666666666667,0.2777777777777778,7,5,ptsd
108,1,1,3,0.4583333333333333,0.5555555555555556,11,10,ptsd
108,1,2,1,0.16666666666666666,0.08333333333333333,4,1,ptsd
108,1,2,2,0.4166666666666667,0.4166666666666667,10,5,ptsd
108,1,2,3,0.4166666666666667,0.5,10,6,ptsd
108,1,3,1,0.2916666666666667,0.2222222222222222,7,2,ptsd
108,1,3,2,0.375,0.1111111111111111,9,1,ptsd
108,1,3,3,0.3333333333333333,0.6666666666666666,8,6,ptsd
108,2,1,1,0.3333333333333333,0.2307692307692308,8,3,ptsd
108,2,1,2,0.4166666666666667,0.4615384615384616,10,6,ptsd
108,2,1,3,0.25,0.3076923076923077,6,4,ptsd
108,2,2,1,0.3333333333333333,0.3333333333333333,8,2,ptsd
108,2,2,2,0.375,0.6666666666666666,9,4,ptsd
108,2,2,3,0.2916666666666667,0.0,7,0,ptsd
108,2,3,1,0.375,0.25,9,3,ptsd
108,2,3,2,0.375,0.5,9,6,ptsd
108,2,3,3,0.25,0.25,6,3,ptsd
109,1,1,1,0.08333333333333333,0.047619047619047616,2,1,ptsd
109,1,1,2,0.625,0.6666666666666666,15,14,ptsd
109,1,1,3,0.2916666666666667,0.2857142857142857,7,6,ptsd
109,1,2,1,0.08333333333333333,0.05,2,1,ptsd
109,1,2,2,0.6666666666666666,0.8,16,16,ptsd
109,1,2,3,0.25,0.15,6,3,ptsd
